Timestamp,Pos_X,Pos_Y,Pos_Z,Label,Note
172855.412727916,-2.187619924545288,-0.2615409195423126,-2.4500555992126465,Survey Point,Captured at 3.29m interval
172855.42940375,0,0,0,Survey Point,Captured at 3.29m interval
172864.851222458,-0.837737500667572,-0.05101057142019272,-1.8171665668487549,Survey Point,Captured at 2.00m interval
172886.596450625,-2.7653350830078125,-0.10510410368442535,-1.245700478553772,Survey Point,Captured at 2.01m interval
172889.931608583,-4.688629627227783,-0.10946086794137955,-0.6964932680130005,Survey Point,Captured at 2.00m interval
172909.609040916,-6.5690131187438965,-0.5293090343475342,-1.2373135089874268,Survey Point,Captured at 2.00m interval
172916.579521541,-4.802748680114746,-0.2951659560203552,-0.3233741521835327,Survey Point,Captured at 2.00m interval
172919.547812333,-2.849930763244629,-0.28012457489967346,-0.8107496500015259,Survey Point,Captured at 2.01m interval
172923.616705291,-1.1642698049545288,-0.24996089935302734,-1.8917598724365234,Survey Point,Captured at 2.00m interval
172933.438746708,-3.0101611614227295,-0.17968621850013733,-1.120041012763977,Survey Point,Captured at 2.00m interval
