Timestamp,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W,Obstacle_Dist
173328.740926166,0.02834378369152546,-0.05073448643088341,-0.003074298147112131,0,-0.8431752920150757,0,0.5376388430595398,10
173328.757602208,0,0,0,0.0011534078512340784,-1.1516141967149451e-05,0.009989476762712002,0.9999495148658752,10
173328.774277916,0,0,0,0.0011534078512340784,-1.1516141967149451e-05,0.009989476762712002,0.9999495148658752,10
173328.790953791,0,0,0,0.0011534078512340784,-1.1516141967149451e-05,0.009989476762712002,0.9999495148658752,10
173328.807629458,0,0,0,0.0011534078512340784,-1.1516141967149451e-05,0.009989476762712002,0.9999495148658752,10
173328.824305416,0,0,0,0.0007563360850326717,-1.9196986613678746e-05,0.009978010319173336,0.9999499917030334,10
173328.840980916,0,0,0,0.0003710960445459932,-2.2597540009883232e-05,0.009975319728255272,0.9999501705169678,10
173328.857656916,0,0,0,0.00015259574865922332,1.4635650586569682e-05,0.010001162067055702,0.9999499917030334,10
173328.874332625,0,0,0,-0.0007565997075289488,5.756814789492637e-05,0.010023431852459908,0.9999494552612305,10
173328.8910085,0,0,0,-0.0014502514386549592,6.484633922809735e-05,0.010014565661549568,0.9999487996101379,10
173328.907684166,0,0,0,-0.0015628065448254347,6.991709233261645e-05,0.010006631724536419,0.9999486804008484,10
173328.924360041,0,0,0,-0.0014486972941085696,8.017371874302626e-05,0.010009457357227802,0.9999489188194275,10
173328.94103575,0,0,0,-0.0010644098510965705,9.298481018049642e-05,0.010019847191870213,0.9999492764472961,10
173328.95771175,0,0,0,-0.000875782803632319,0.00010246410238323733,0.010024040006101131,0.9999493956565857,10
173328.974387333,0,0,0,-0.0005888440646231174,0.00010291014768881723,0.010032418183982372,0.9999495148658752,10
173328.99106325,0,0,0,-0.0003495177370496094,0.00011055995128117502,0.010042248293757439,0.99994957447052,10
173329.007738916,0,0,0,-0.0002044692519120872,0.00010552970343269408,0.010056260973215103,0.9999494552612305,10
173329.024414875,0,0,0,-1.4468798326561227e-05,0.00010262334399158135,0.010057087056338787,0.9999494552612305,10
173329.041090458,0,0,0,-2.97971346299164e-05,0.00010883125651162118,0.01006543543189764,0.9999494552612305,10
173329.057766375,0,0,0,-7.450277189491317e-05,0.00011050793546019122,0.010068010538816452,0.9999493956565857,10
173329.074442,0,0,0,9.389584738528356e-05,0.00012162523489678279,0.010080050677061081,0.9999492764472961,10
173329.091117958,0,0,0,0.0006877196137793362,0.00014244038902688771,0.010074133984744549,0.9999489784240723,10
173329.107793541,0,0,0,0.0009582724887877703,0.00014994744560681283,0.010078131221234798,0.9999487400054932,10
173329.124469666,0,0,0,0.0009503908804617822,0.00016510601562913507,0.010084114968776703,0.9999486804008484,10
173329.14114525,0,0,0,-0.00018959591398015618,0.00014934134378563613,0.010102730244398117,0.9999489188194275,10
173329.157821125,0,0,0,-0.0011581388534978032,0.00013901875354349613,0.010092461481690407,0.9999484419822693,10
173329.174496791,0,0,0,-0.00319859036244452,0.00013395040878094733,0.01007299218326807,0.9999441504478455,10
